gauge_id,gauge_name,gauge_description,gauge_project_id,gauge_asset_type,gauge_asset_types,gauge_last_modified,gauge_modified_by,last_data,recency_age_hours,recency_age_days,is_active_by_months,trace_id,trace_asset_id,trace_description,trace_has_alarms,trace_is_visible,trace_resolution_raw,trace_resolution,trace_timezone,trace_var_type_id,trace_var_type_name,trace_var_type_description,trace_var_type_type,trace_var_type_is_zero_relevant,trace_var_type_order,trace_units_id,trace_units_label,trace_units_is_total_relevant,trace_telemetered_max_time,trace_archived_min_time,trace_archived_max_time,trace_forecasted_min_time,trace_forecasted_max_time,trace_virtual_bool,trace_virtual_id,trace_virtual_description,trace_virtual_parent_trace_id,trace_style_type,trace_style_color,trace_style_attach,trace_style_invert,alarm_id,alarm_name,alarm_type,alarm_description,threshold,threshold_type,threshold_category,threshold_category_id,severity,is_critical,alarm_types_present,alarm_types_present_count,alarm_types_counts_json,detailed_alarm_type,source
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,,,Rainfall (primary),,,,,,,,,,,,,,,2025-12-25T03:59:30+00:00,2014-10-14T21:32:00+00:00,2025-11-09T09:00:00+00:00,,,,,,,,,,,,Data Recency (derived from telemeteredMaximumTime),Recency,,9.73,,,,,,,,,,derived_recency
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,1482847.0,3160935.0,Rainfall 7 days window sum,True,False,300.0,300,UTC,111811.0,Rain 7 days (Virtual Data),Rainfall 7 days window sum,Rain,False,100.0,101.0,mm,False,2025-11-12T22:19:00+12:00,2025-04-26T11:50:00+12:00,2025-04-29T17:41:00+12:00,,,,,,,,,,,23262.0,648825_threshold_alarm,Overflow/Max,648825_threshold_alarm,180.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,1480751.0,3160935.0,10mm Drought Alarm,True,False,300.0,300,UTC,110780.0,Alarm State,Alarm State,State,True,100.0,3.0,,False,2025-12-06T12:00:51.895157+12:00,2025-05-09T10:01:05.326579+12:00,2025-05-09T10:01:05.326579+12:00,,,,,,,,,,,22560.0,648825_10mm Drought Alarm,Overflow/Max,648825_10mm Drought Alarm,0.99,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,36322.0,3160935.0,Rainfall 30 min window sum,True,False,300.0,300,UTC,110710.0,Rain 30 mins (Virtual Data),Rainfall 30 min window sum,Rain,False,100.0,101.0,mm,False,2025-12-25T15:59:30+12:00,2014-10-15T09:32:00+12:00,2025-11-09T21:00:00+12:00,,,True,13185.0,Rainfall 30 min window sum,30846.0,,,,,22863.0,648825_threshold_alarm_15mm,Overflow/Max,648825_threshold_alarm_15mm,15.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,36325.0,3160935.0,Rainfall 6 hr window sum,True,False,300.0,300,UTC,110716.0,Rain 6 hr (Virtual Data),Rainfall 6 hr window sum,Rain,False,100.0,101.0,mm,False,2025-12-25T15:59:30+12:00,2014-10-15T09:32:00+12:00,2025-11-09T21:00:00+12:00,,,True,13188.0,Rainfall 6 hr window sum,30846.0,,,,,22648.0,648825_threshold_alarm,Overflow/Max,648825_threshold_alarm,50.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,36326.0,3160935.0,Rainfall 12 hr window sum,True,False,300.0,300,UTC,110717.0,Rain 12 hr (Virtual Data),Rainfall 12 hr window sum,Rain,False,100.0,101.0,mm,False,2025-12-25T15:59:30+12:00,2014-10-15T09:32:00+12:00,2025-11-09T21:00:00+12:00,,,True,13189.0,Rainfall 12 hr window sum,30846.0,,,,,22701.0,648825_threshold_alarm,Overflow/Max,648825_threshold_alarm,70.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,1482414.0,3160935.0,Rainfall 60 min window sum - Mirror,True,False,300.0,300,UTC,111810.0,Rainfall 1 hr accum (mirror),Rainfall 1 hr accum (mirror) - for alarming,Rain,False,100.0,101.0,mm,False,2025-12-25T03:59:30Z,2014-10-14T21:32:00Z,2025-11-09T09:00:00Z,,,True,1101092.0,3160935 - Rainfall 60 min window sum,36323.0,,,,,23228.0,1 hour Accumulated Threshold,Overflow/Max,1 hour Accumulated Threshold,15.0,Max,Overflow,1.0,Low,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,36327.0,3160935.0,Rainfall 24 hr window sum,True,False,300.0,300,UTC,110718.0,Rain 24 hr (Virtual Data),Rainfall 24 hr window sum,Rain,False,100.0,101.0,mm,False,2025-12-25T15:59:30+12:00,2014-10-15T09:32:00+12:00,2025-11-09T21:00:00+12:00,,,True,13190.0,Rainfall 24 hr window sum,30846.0,,,,,22901.0,648825_threshold_alarm,Overflow/Max,648825_threshold_alarm,100.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,36323.0,3160935.0,Rainfall 60 min window sum,True,False,300.0,300,UTC,110711.0,Rain 60 mins (Virtual Data),Rainfall 60 min window sum,Rain,False,100.0,101.0,mm,False,2025-12-25T15:59:30+12:00,2014-10-15T09:32:00+12:00,2025-11-09T21:00:00+12:00,,,True,13186.0,Rainfall 60 min window sum,30846.0,,,,,22771.0,648825_threshold_alarm,Overflow/Max,648825_threshold_alarm,25.0,Max,Overflow,1.0,Medium,False,,0.0,,,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,648825,594,None,['Rainfall'],2018-05-25T10:28:32.568968,tom,25/12/2025,9.73,0.41,True,801899.0,3160935.0,Max TP108 ARI,True,False,300.0,300,UTC,110652.0,ARI,Annual Recurrence Interval,ARI,True,999.0,84.0,ARI,False,2025-12-25T15:59:30+12:00,2022-11-29T10:00:00+12:00,2025-11-09T21:00:00+12:00,,,True,600719.0,801899_Max ARI test - PROVISIONAL - DO NOT USE,30846.0,,,,,14562.0,ARI Max Threshold,Overflow/Max,Event Ari Exceeds Threshold,5.0,Max,Overflow,1.0,High,False,,0.0,,,threshold_config
