pixelindex,2h_b,2h_m,6h_b,6h_m,10m_b,10m_m,12h_b,12h_m,20m_b,20m_m,24h_b,24h_m,30m_b,30m_m,60m_b,60m_m
121076,-2.09568,0.069737,-2.09568,0.045407,-2.09568,0.253551,-2.09568,0.035023,-2.09568,0.164961,-2.09568,0.028525,-2.09568,0.133361,-2.09568,0.094209
121077,-2.11152,0.069869,-2.11152,0.045493,-2.11152,0.25403,-2.11152,0.035089,-2.11152,0.165272,-2.11152,0.028578,-2.11152,0.133613,-2.11152,0.094387
121078,-2.10646,0.069765,-2.10646,0.045425,-2.10646,0.253653,-2.10646,0.035037,-2.10646,0.165027,-2.10646,0.028536,-2.10646,0.133415,-2.10646,0.094247
121079,-2.10089,0.069691,-2.10089,0.045377,-2.10089,0.253383,-2.10089,0.035,-2.10089,0.164852,-2.10089,0.028506,-2.10089,0.133273,-2.10089,0.094147
121080,-2.09957,0.069683,-2.09957,0.045372,-2.09957,0.253354,-2.09957,0.034996,-2.09957,0.164833,-2.09957,0.028502,-2.09957,0.133258,-2.09957,0.094136
121081,-2.09966,0.069704,-2.09966,0.045385,-2.09966,0.253429,-2.09966,0.035006,-2.09966,0.164882,-2.09966,0.028511,-2.09966,0.133297,-2.09966,0.094164
121082,-2.09909,0.069718,-2.09909,0.045395,-2.09909,0.253481,-2.09909,0.035014,-2.09909,0.164916,-2.09909,0.028517,-2.09909,0.133325,-2.09909,0.094183
121083,-2.09999,0.069766,-2.09999,0.045426,-2.09999,0.253655,-2.09999,0.035038,-2.09999,0.165029,-2.09999,0.028536,-2.09999,0.133416,-2.09999,0.094248
121084,-2.10583,0.069942,-2.10583,0.04554,-2.10583,0.254295,-2.10583,0.035126,-2.10583,0.165445,-2.10583,0.028608,-2.10583,0.133753,-2.10583,0.094486
121085,-2.11683,0.070229,-2.11683,0.045727,-2.11683,0.25534,-2.11683,0.03527,-2.11683,0.166125,-2.11683,0.028726,-2.11683,0.134302,-2.11683,0.094874
121559,-1.5288,0.063495,-1.5288,0.041343,-1.5288,0.230856,-1.5288,0.031888,-1.5288,0.150195,-1.5288,0.025971,-1.5288,0.121424,-1.5288,0.085777
121560,-1.52974,0.0634,-1.52974,0.041281,-1.52974,0.23051,-1.52974,0.031841,-1.52974,0.149971,-1.52974,0.025932,-1.52974,0.121242,-1.52974,0.085648
121561,-1.52984,0.063303,-1.52984,0.041217,-1.52984,0.230156,-1.52984,0.031792,-1.52984,0.14974,-1.52984,0.025893,-1.52984,0.121056,-1.52984,0.085517
121562,-1.53119,0.063232,-1.53119,0.041172,-1.53119,0.229901,-1.53119,0.031756,-1.53119,0.149574,-1.53119,0.025864,-1.53119,0.120922,-1.53119,0.085422
121563,-1.53367,0.063182,-1.53367,0.041139,-1.53367,0.229716,-1.53367,0.031731,-1.53367,0.149454,-1.53367,0.025843,-1.53367,0.120825,-1.53367,0.085353
121564,-1.53706,0.06315,-1.53706,0.041118,-1.53706,0.2296,-1.53706,0.031715,-1.53706,0.149378,-1.53706,0.02583,-1.53706,0.120763,-1.53706,0.08531
121565,-1.54094,0.063138,-1.54094,0.04111,-1.54094,0.229558,-1.54094,0.031709,-1.54094,0.149351,-1.54094,0.025825,-1.54094,0.120742,-1.54094,0.085295
121566,-1.5448,0.063128,-1.5448,0.041104,-1.5448,0.229523,-1.5448,0.031704,-1.5448,0.149328,-1.5448,0.025821,-1.5448,0.120723,-1.5448,0.085281
121567,-1.54943,0.063122,-1.54943,0.0411,-1.54943,0.229501,-1.54943,0.031701,-1.54943,0.149314,-1.54943,0.025819,-1.54943,0.120711,-1.54943,0.085273
121568,-1.55269,0.063106,-1.55269,0.041089,-1.55269,0.229442,-1.55269,0.031693,-1.55269,0.149275,-1.55269,0.025812,-1.55269,0.12068,-1.55269,0.085251
121569,-1.55571,0.063105,-1.55571,0.041089,-1.55571,0.229437,-1.55571,0.031692,-1.55571,0.149272,-1.55571,0.025812,-1.55571,0.120678,-1.55571,0.085249
121570,-1.5591,0.063116,-1.5591,0.041096,-1.5591,0.229478,-1.5591,0.031698,-1.5591,0.149299,-1.5591,0.025816,-1.5591,0.120699,-1.5591,0.085265
121571,-1.56349,0.06315,-1.56349,0.041118,-1.56349,0.229602,-1.56349,0.031715,-1.56349,0.149379,-1.56349,0.02583,-1.56349,0.120765,-1.56349,0.085311
121572,-1.57054,0.063228,-1.57054,0.041169,-1.57054,0.229884,-1.57054,0.031754,-1.57054,0.149563,-1.57054,0.025862,-1.57054,0.120913,-1.57054,0.085416
121573,-1.57587,0.063298,-1.57587,0.041214,-1.57587,0.230137,-1.57587,0.031789,-1.57587,0.149728,-1.57587,0.02589,-1.57587,0.121046,-1.57587,0.08551
121574,-1.57904,0.06333,-1.57904,0.041235,-1.57904,0.230256,-1.57904,0.031806,-1.57904,0.149805,-1.57904,0.025904,-1.57904,0.121109,-1.57904,0.085554
121575,-1.58968,0.06347,-1.58968,0.041326,-1.58968,0.230765,-1.58968,0.031876,-1.58968,0.150136,-1.58968,0.025961,-1.58968,0.121376,-1.58968,0.085743
121576,-1.59087,0.063506,-1.59087,0.04135,-1.59087,0.230896,-1.59087,0.031894,-1.59087,0.150221,-1.59087,0.025976,-1.59087,0.121445,-1.59087,0.085792
121577,-1.58483,0.063485,-1.58483,0.041336,-1.58483,0.230821,-1.58483,0.031883,-1.58483,0.150172,-1.58483,0.025967,-1.58483,0.121406,-1.58483,0.085764
121578,-1.59223,0.063614,-1.59223,0.04142,-1.59223,0.23129,-1.59223,0.031948,-1.59223,0.150478,-1.59223,0.02602,-1.59223,0.121652,-1.59223,0.085938
121579,-1.59478,0.06362,-1.59478,0.041424,-1.59478,0.231311,-1.59478,0.031951,-1.59478,0.150491,-1.59478,0.026022,-1.59478,0.121664,-1.59478,0.085946
121580,-1.63763,0.064104,-1.63763,0.041739,-1.63763,0.23307,-1.63763,0.032194,-1.63763,0.151636,-1.63763,0.02622,-1.63763,0.122589,-1.63763,0.086599
121581,-1.68056,0.064576,-1.68056,0.042046,-1.68056,0.234785,-1.68056,0.032431,-1.68056,0.152752,-1.68056,0.026413,-1.68056,0.123491,-1.68056,0.087237
121582,-1.7355,0.065184,-1.7355,0.042443,-1.7355,0.236997,-1.7355,0.032737,-1.7355,0.154191,-1.7355,0.026662,-1.7355,0.124654,-1.7355,0.088059
121583,-1.79094,0.065761,-1.79094,0.042818,-1.79094,0.239095,-1.79094,0.033026,-1.79094,0.155556,-1.79094,0.026898,-1.79094,0.125758,-1.79094,0.088838
121584,-1.84554,0.066308,-1.84554,0.043174,-1.84554,0.241083,-1.84554,0.033301,-1.84554,0.156849,-1.84554,0.027122,-1.84554,0.126803,-1.84554,0.089577
121585,-1.89973,0.066861,-1.89973,0.043534,-1.89973,0.243093,-1.89973,0.033579,-1.89973,0.158157,-1.89973,0.027348,-1.89973,0.12786,-1.89973,0.090323
121586,-1.9605,0.067486,-1.9605,0.043941,-1.9605,0.245364,-1.9605,0.033892,-1.9605,0.159634,-1.9605,0.027603,-1.9605,0.129055,-1.9605,0.091167
121587,-2.0293,0.068193,-2.0293,0.044401,-2.0293,0.247936,-2.0293,0.034248,-2.0293,0.161308,-2.0293,0.027893,-2.0293,0.130408,-2.0293,0.092123
121588,-2.10664,0.069015,-2.10664,0.044937,-2.10664,0.250926,-2.10664,0.034661,-2.10664,0.163253,-2.10664,0.028229,-2.10664,0.131981,-2.10664,0.093234
121589,-2.16745,0.069681,-2.16745,0.04537,-2.16745,0.253345,-2.16745,0.034995,-2.16745,0.164827,-2.16745,0.028501,-2.16745,0.133253,-2.16745,0.094133
121590,-2.19287,0.069938,-2.19287,0.045538,-2.19287,0.254281,-2.19287,0.035124,-2.19287,0.165436,-2.19287,0.028607,-2.19287,0.133745,-2.19287,0.094481
121591,-2.20243,0.07006,-2.20243,0.045618,-2.20243,0.254726,-2.20243,0.035186,-2.20243,0.165725,-2.20243,0.028657,-2.20243,0.133979,-2.20243,0.094646
121592,-2.1987,0.070043,-2.1987,0.045606,-2.1987,0.254661,-2.1987,0.035177,-2.1987,0.165683,-2.1987,0.028649,-2.1987,0.133945,-2.1987,0.094622
121593,-2.19301,0.07003,-2.19301,0.045597,-2.19301,0.254614,-2.19301,0.03517,-2.19301,0.165653,-2.19301,0.028644,-2.19301,0.13392,-2.19301,0.094604
121594,-2.18837,0.070038,-2.18837,0.045603,-2.18837,0.254645,-2.18837,0.035174,-2.18837,0.165673,-2.18837,0.028648,-2.18837,0.133937,-2.18837,0.094616
121595,-2.19101,0.070166,-2.19101,0.045686,-2.19101,0.255111,-2.19101,0.035239,-2.19101,0.165976,-2.19101,0.0287,-2.19101,0.134182,-2.19101,0.094789
121596,-2.20043,0.070445,-2.20043,0.045868,-2.20043,0.256125,-2.20043,0.035379,-2.20043,0.166636,-2.20043,0.028814,-2.20043,0.134715,-2.20043,0.095166
121597,-2.21445,0.070825,-2.21445,0.046115,-2.21445,0.257505,-2.21445,0.035569,-2.21445,0.167534,-2.21445,0.028969,-2.21445,0.135441,-2.21445,0.095679
121598,-2.22583,0.071187,-2.22583,0.046351,-2.22583,0.258824,-2.22583,0.035752,-2.22583,0.168391,-2.22583,0.029118,-2.22583,0.136134,-2.22583,0.096168
122069,-1.52359,0.063346,-1.52359,0.041245,-1.52359,0.230313,-1.52359,0.031813,-1.52359,0.149842,-1.52359,0.02591,-1.52359,0.121138,-1.52359,0.085575
122070,-1.53017,0.063274,-1.53017,0.041199,-1.53017,0.230053,-1.53017,0.031777,-1.53017,0.149673,-1.53017,0.025881,-1.53017,0.121002,-1.53017,0.085478
122071,-1.53503,0.063185,-1.53503,0.041141,-1.53503,0.229729,-1.53503,0.031733,-1.53503,0.149462,-1.53503,0.025844,-1.53503,0.120831,-1.53503,0.085358
122072,-1.5385,0.063082,-1.5385,0.041074,-1.5385,0.229353,-1.5385,0.031681,-1.5385,0.149218,-1.5385,0.025802,-1.5385,0.120634,-1.5385,0.085218
122073,-1.53997,0.062955,-1.53997,0.040991,-1.53997,0.228892,-1.53997,0.031617,-1.53997,0.148917,-1.53997,0.02575,-1.53997,0.120391,-1.53997,0.085047
122074,-1.5375,0.062792,-1.5375,0.040885,-1.5375,0.228298,-1.5375,0.031535,-1.5375,0.148531,-1.5375,0.025684,-1.5375,0.120079,-1.5375,0.084826
122075,-1.53444,0.062641,-1.53444,0.040787,-1.53444,0.227752,-1.53444,0.03146,-1.53444,0.148176,-1.53444,0.025622,-1.53444,0.119792,-1.53444,0.084623
122076,-1.53244,0.062514,-1.53244,0.040704,-1.53244,0.227287,-1.53244,0.031395,-1.53244,0.147874,-1.53244,0.02557,-1.53244,0.119547,-1.53244,0.084451
122077,-1.53215,0.062424,-1.53215,0.040646,-1.53215,0.226963,-1.53215,0.031351,-1.53215,0.147662,-1.53215,0.025533,-1.53215,0.119376,-1.53215,0.08433
122078,-1.53373,0.062375,-1.53373,0.040613,-1.53373,0.226782,-1.53373,0.031326,-1.53373,0.147545,-1.53373,0.025513,-1.53373,0.119282,-1.53373,0.084263
122079,-1.53759,0.062351,-1.53759,0.040597,-1.53759,0.226694,-1.53759,0.031314,-1.53759,0.147488,-1.53759,0.025503,-1.53759,0.119235,-1.53759,0.08423
122080,-1.54147,0.062333,-1.54147,0.040586,-1.54147,0.226629,-1.54147,0.031304,-1.54147,0.147445,-1.54147,0.025496,-1.54147,0.119201,-1.54147,0.084206
122081,-1.54389,0.062314,-1.54389,0.040573,-1.54389,0.22656,-1.54389,0.031295,-1.54389,0.1474,-1.54389,0.025488,-1.54389,0.119165,-1.54389,0.08418
122082,-1.54738,0.06233,-1.54738,0.040584,-1.54738,0.22662,-1.54738,0.031303,-1.54738,0.14744,-1.54738,0.025495,-1.54738,0.119196,-1.54738,0.084203
122083,-1.55211,0.062379,-1.55211,0.040616,-1.55211,0.226796,-1.55211,0.031328,-1.55211,0.147554,-1.55211,0.025515,-1.55211,0.119289,-1.55211,0.084268
122084,-1.55958,0.062469,-1.55958,0.040675,-1.55958,0.227126,-1.55958,0.031373,-1.55958,0.147769,-1.55958,0.025552,-1.55958,0.119463,-1.55958,0.084391
122085,-1.56526,0.062538,-1.56526,0.04072,-1.56526,0.227377,-1.56526,0.031408,-1.56526,0.147932,-1.56526,0.02558,-1.56526,0.119594,-1.56526,0.084484
122086,-1.57042,0.062608,-1.57042,0.040765,-1.57042,0.227629,-1.57042,0.031443,-1.57042,0.148096,-1.57042,0.025608,-1.57042,0.119727,-1.57042,0.084578
122087,-1.58339,0.062781,-1.58339,0.040878,-1.58339,0.228261,-1.58339,0.03153,-1.58339,0.148507,-1.58339,0.025679,-1.58339,0.120059,-1.58339,0.084812
122088,-1.58621,0.062829,-1.58621,0.040909,-1.58621,0.228432,-1.58621,0.031554,-1.58621,0.148619,-1.58621,0.025699,-1.58621,0.120149,-1.58621,0.084876
122089,-1.58882,0.062918,-1.58882,0.040967,-1.58882,0.228757,-1.58882,0.031598,-1.58882,0.14883,-1.58882,0.025735,-1.58882,0.12032,-1.58882,0.084997
122090,-1.60329,0.063121,-1.60329,0.041099,-1.60329,0.229497,-1.60329,0.031701,-1.60329,0.149311,-1.60329,0.025818,-1.60329,0.12071,-1.60329,0.085272
122091,-1.60597,0.063111,-1.60597,0.041093,-1.60597,0.22946,-1.60597,0.031696,-1.60597,0.149287,-1.60597,0.025814,-1.60597,0.12069,-1.60597,0.085258
122092,-1.64403,0.063523,-1.64403,0.041361,-1.64403,0.230959,-1.64403,0.031903,-1.64403,0.150262,-1.64403,0.025983,-1.64403,0.121478,-1.64403,0.085815
122093,-1.69373,0.064045,-1.69373,0.041701,-1.69373,0.232856,-1.69373,0.032165,-1.69373,0.151497,-1.69373,0.026196,-1.69373,0.122476,-1.69373,0.08652
122094,-1.74229,0.064548,-1.74229,0.042028,-1.74229,0.234684,-1.74229,0.032417,-1.74229,0.152686,-1.74229,0.026402,-1.74229,0.123438,-1.74229,0.087199
122095,-1.79356,0.06506,-1.79356,0.042361,-1.79356,0.236544,-1.79356,0.032674,-1.79356,0.153896,-1.79356,0.026611,-1.79356,0.124416,-1.79356,0.08789
122096,-1.83777,0.065464,-1.83777,0.042625,-1.83777,0.238015,-1.83777,0.032877,-1.83777,0.154853,-1.83777,0.026777,-1.83777,0.12519,-1.83777,0.088437
122097,-1.89256,0.066018,-1.89256,0.042985,-1.89256,0.240027,-1.89256,0.033155,-1.89256,0.156162,-1.89256,0.027003,-1.89256,0.126248,-1.89256,0.089184
122098,-1.96071,0.066725,-1.96071,0.043446,-1.96071,0.242599,-1.96071,0.03351,-1.96071,0.157835,-1.96071,0.027292,-1.96071,0.127601,-1.96071,0.09014
122099,-2.02864,0.067429,-2.02864,0.043904,-2.02864,0.245157,-2.02864,0.033864,-2.02864,0.1595,-2.02864,0.02758,-2.02864,0.128946,-2.02864,0.09109
122100,-2.09969,0.068189,-2.09969,0.044399,-2.09969,0.247923,-2.09969,0.034246,-2.09969,0.1613,-2.09969,0.027891,-2.09969,0.130401,-2.09969,0.092118
122101,-2.1748,0.069045,-2.1748,0.044956,-2.1748,0.251035,-2.1748,0.034676,-2.1748,0.163324,-2.1748,0.028241,-2.1748,0.132038,-2.1748,0.093274
122102,-2.22058,0.069555,-2.22058,0.045289,-2.22058,0.252889,-2.22058,0.034932,-2.22058,0.16453,-2.22058,0.02845,-2.22058,0.133013,-2.22058,0.093963
122103,-2.22786,0.069659,-2.22786,0.045356,-2.22786,0.253267,-2.22786,0.034984,-2.22786,0.164776,-2.22786,0.028493,-2.22786,0.133212,-2.22786,0.094104
122104,-2.23265,0.069771,-2.23265,0.045429,-2.23265,0.253674,-2.23265,0.03504,-2.23265,0.165041,-2.23265,0.028538,-2.23265,0.133426,-2.23265,0.094255
122105,-2.23859,0.069929,-2.23859,0.045532,-2.23859,0.254247,-2.23859,0.035119,-2.23859,0.165414,-2.23859,0.028603,-2.23859,0.133727,-2.23859,0.094468
122106,-2.2442,0.070078,-2.2442,0.045629,-2.2442,0.25479,-2.2442,0.035194,-2.2442,0.165767,-2.2442,0.028664,-2.2442,0.134013,-2.2442,0.09467
122107,-2.25334,0.070319,-2.25334,0.045786,-2.25334,0.255664,-2.25334,0.035315,-2.25334,0.166336,-2.25334,0.028762,-2.25334,0.134473,-2.25334,0.094995
122108,-2.25609,0.070548,-2.25609,0.045935,-2.25609,0.2565,-2.25609,0.035431,-2.25609,0.16688,-2.25609,0.028856,-2.25609,0.134912,-2.25609,0.095305
