Gauge,Trace,Alarm Name,Type,Threshold,threshold_num,row_category
ACC - Rain - Karaka @ Walters Road,Rainfall 7 days window sum,741815_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Mangemangeroa @ Reserve,10mm Drought Alarm,649941_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Mangemangeroa @ Reserve,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Mangemangeroa @ Reserve,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Mangemangeroa @ Reserve,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Mangemangeroa @ Reserve,Rainfall 7 days window sum,649941_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,10mm Drought Alarm,648701_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.64,9.64,Data freshness (recency)
ACC - Rain - Mangere Rainfall,Rainfall 12 hr window sum,648701_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 24 hr window sum,648701_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 30 min window sum,648701_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 6 hr window sum,648701_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 60 min window sum,648701_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Mangere Rainfall,Rainfall 7 days window sum,648701_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,10mm Drought Alarm,649940_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 12 hr window sum,649940_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 24 hr window sum,649940_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 30 min window sum,649940_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 6 hr window sum,649940_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 60 min window sum,649940_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Manukau @ Sports Bowl,Rainfall 7 days window sum,649940_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Mauku RAWS @ Mauku,10mm Drought Alarm,742824_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Mauku RAWS @ Mauku,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Mauku RAWS @ Mauku,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Mauku RAWS @ Mauku,Rainfall 10 min window sum,Greater than 30mm in 10 minutes,Overflow/Max,30.0,30.0,Threshold alarm (overflow)
ACC - Rain - Mauku RAWS @ Mauku,Rainfall 7 days window sum,742824_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,10mm Drought Alarm,649514_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.64,9.64,Data freshness (recency)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 12 hr window sum,649514_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 24 hr window sum,649514_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 30 min window sum,649514_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 6 hr window sum,649514_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 60 min window sum,649514_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Nihotupu @ Arataki Visitors Centre,Rainfall 7 days window sum,649514_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,10mm Drought Alarm,Rain - Omaha Rain @ Golf Course_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 12 hr window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 24 hr window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 30 min window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 6 hr window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 60 min window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Omaha Rain @ Golf Course,Rainfall 7 days window sum,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Oteha @ WWTP (Watercare),Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Pakuranga @ College,10mm Drought Alarm,649843_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Pakuranga @ College,Rainfall 12 hr window sum,649843_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 24 hr window sum,649843_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 30 min window sum,649843_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 6 hr window sum,649843_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 60 min window sum,649843_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Pakuranga @ College,Rainfall 7 days window sum,649843_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,10mm Drought Alarm,649528_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 12 hr window sum,649528_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 24 hr window sum,649528_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 30 min window sum,649528_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 6 hr window sum,649528_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 60 min window sum,649528_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Piha Rangers Shed Rainfall,Rainfall 7 days window sum,649528_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Piha Wetlands,10mm Drought Alarm,649527_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Piha Wetlands,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Piha Wetlands,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Piha Wetlands,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Piha Wetlands,Rainfall 7 days window sum,649527_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Puhinui @ Botanical Gardens,10mm Drought Alarm,740945_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Puhinui @ Botanical Gardens,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Puhinui @ Botanical Gardens,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Puhinui @ Botanical Gardens,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Puhinui @ Botanical Gardens,Rainfall 7 days window sum,740945_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,10mm Drought Alarm,Rain - RAWS @ GBI_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - RAWS @ GBI,Rainfall 10 min window sum,Greater than 30mm in 10 minutes,Overflow/Max,30.0,30.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 12 hr window sum,Rain - RAWS @ GBI_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 24 hr window sum,Rain - RAWS @ GBI_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 30 min window sum,Rain - RAWS @ GBI_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 6 hr window sum,Rain - RAWS @ GBI_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 60 min window sum,Rain - RAWS @ GBI_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - RAWS @ GBI,Rainfall 7 days window sum,Rain - RAWS @ GBI_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Takapuna Rain @ Library,10mm Drought Alarm,647781_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Takapuna Rain @ Library,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Takapuna Rain @ Library,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Takapuna Rain @ Library,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Takapuna Rain @ Library,Rainfall 7 days window sum,647781_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Tomarata @ Briens Farm,10mm Drought Alarm,64068001_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Tomarata @ Briens Farm,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Tomarata @ Briens Farm,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Tomarata @ Briens Farm,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Tomarata @ Briens Farm,Rainfall 7 days window sum,64068001_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,10mm Drought Alarm,649641_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 12 hr window sum,649641_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 24 hr window sum,649641_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 30 min window sum,649641_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 6 hr window sum,649641_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 60 min window sum,649641_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Waituna @ Huia Filter Station,Rainfall 7 days window sum,649641_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,10mm Drought Alarm,646813_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.64,9.64,Data freshness (recency)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 12 hr window sum,646813_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 24 hr window sum,646813_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 30 min window sum,646813_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 6 hr window sum,646813_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 60 min window sum,646813_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Whangaparaoa Rainfall,Rainfall 7 days window sum,646813_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,10mm Drought Alarm,647618_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 12 hr window sum,647618_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 24 hr window sum,647618_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 30 min window sum,647618_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 6 hr window sum,647618_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 60 min window sum,647618_threshold_alarm_15mm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain -Albany @ Hts Rd NSCC06,Rainfall 7 days window sum,647618_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
