pixel_index,value_index,timestamp,value
185650,0,2025-05-09T00:00:00+00:00,0.0
185650,1,2025-05-09T00:01:00+00:00,0.0
185650,2,2025-05-09T00:02:00+00:00,0.0
185650,3,2025-05-09T00:03:00+00:00,0.0
185650,4,2025-05-09T00:04:00+00:00,0.0
185650,5,2025-05-09T00:05:00+00:00,0.0
185650,6,2025-05-09T00:06:00+00:00,0.0
185650,7,2025-05-09T00:07:00+00:00,0.0
185650,8,2025-05-09T00:08:00+00:00,0.0
185650,9,2025-05-09T00:09:00+00:00,0.0
185650,10,2025-05-09T00:10:00+00:00,0.0
185650,11,2025-05-09T00:11:00+00:00,0.0
185650,12,2025-05-09T00:12:00+00:00,0.0
185650,13,2025-05-09T00:13:00+00:00,0.0
185650,14,2025-05-09T00:14:00+00:00,0.0
185650,15,2025-05-09T00:15:00+00:00,0.0
185650,16,2025-05-09T00:16:00+00:00,0.0
185650,17,2025-05-09T00:17:00+00:00,0.01
185650,18,2025-05-09T00:18:00+00:00,0.04
185650,19,2025-05-09T00:19:00+00:00,0.04
185650,20,2025-05-09T00:20:00+00:00,0.049999997
185650,21,2025-05-09T00:21:00+00:00,0.06
185650,22,2025-05-09T00:22:00+00:00,0.08
185650,23,2025-05-09T00:23:00+00:00,0.049999997
185650,24,2025-05-09T00:24:00+00:00,0.06
185650,25,2025-05-09T00:25:00+00:00,0.03
185650,26,2025-05-09T00:26:00+00:00,0.01
185650,27,2025-05-09T00:27:00+00:00,0.02
185650,28,2025-05-09T00:28:00+00:00,0.02
185650,29,2025-05-09T00:29:00+00:00,0.01
185650,30,2025-05-09T00:30:00+00:00,0.0
185650,31,2025-05-09T00:31:00+00:00,0.0
185650,32,2025-05-09T00:32:00+00:00,0.01
185650,33,2025-05-09T00:33:00+00:00,0.02
185650,34,2025-05-09T00:34:00+00:00,0.02
185650,35,2025-05-09T00:35:00+00:00,0.03
185650,36,2025-05-09T00:36:00+00:00,0.049999997
185650,37,2025-05-09T00:37:00+00:00,0.049999997
185650,38,2025-05-09T00:38:00+00:00,0.06
185650,39,2025-05-09T00:39:00+00:00,0.03
185650,40,2025-05-09T00:40:00+00:00,0.02
185650,41,2025-05-09T00:41:00+00:00,0.02
185650,42,2025-05-09T00:42:00+00:00,0.01
185650,43,2025-05-09T00:43:00+00:00,0.01
185650,44,2025-05-09T00:44:00+00:00,0.01
185650,45,2025-05-09T00:45:00+00:00,0.01
185650,46,2025-05-09T00:46:00+00:00,0.01
185650,47,2025-05-09T00:47:00+00:00,0.01
185650,48,2025-05-09T00:48:00+00:00,0.01
185650,49,2025-05-09T00:49:00+00:00,0.01
185650,50,2025-05-09T00:50:00+00:00,0.01
185650,51,2025-05-09T00:51:00+00:00,0.01
185650,52,2025-05-09T00:52:00+00:00,0.01
185650,53,2025-05-09T00:53:00+00:00,0.01
185650,54,2025-05-09T00:54:00+00:00,0.01
185650,55,2025-05-09T00:55:00+00:00,0.01
185650,56,2025-05-09T00:56:00+00:00,0.0
185650,57,2025-05-09T00:57:00+00:00,0.0
185650,58,2025-05-09T00:58:00+00:00,0.0
185650,59,2025-05-09T00:59:00+00:00,0.0
185650,60,2025-05-09T01:00:00+00:00,0.0
185650,61,2025-05-09T01:01:00+00:00,0.0
185650,62,2025-05-09T01:02:00+00:00,0.01
185650,63,2025-05-09T01:03:00+00:00,0.02
185650,64,2025-05-09T01:04:00+00:00,0.03
185650,65,2025-05-09T01:05:00+00:00,0.02
185650,66,2025-05-09T01:06:00+00:00,0.01
185650,67,2025-05-09T01:07:00+00:00,0.0
185650,68,2025-05-09T01:08:00+00:00,0.0
185650,69,2025-05-09T01:09:00+00:00,0.0
185650,70,2025-05-09T01:10:00+00:00,0.0
185650,71,2025-05-09T01:11:00+00:00,0.0
185650,72,2025-05-09T01:12:00+00:00,0.0
185650,73,2025-05-09T01:13:00+00:00,0.0
185650,74,2025-05-09T01:14:00+00:00,0.0
185650,75,2025-05-09T01:15:00+00:00,0.0
185650,76,2025-05-09T01:16:00+00:00,0.0
185650,77,2025-05-09T01:17:00+00:00,0.0
185650,78,2025-05-09T01:18:00+00:00,0.02
185650,79,2025-05-09T01:19:00+00:00,0.02
185650,80,2025-05-09T01:20:00+00:00,0.01
185650,81,2025-05-09T01:21:00+00:00,0.0
185650,82,2025-05-09T01:22:00+00:00,0.0
185650,83,2025-05-09T01:23:00+00:00,0.0
185650,84,2025-05-09T01:24:00+00:00,0.0
185650,85,2025-05-09T01:25:00+00:00,0.0
185650,86,2025-05-09T01:26:00+00:00,0.01
185650,87,2025-05-09T01:27:00+00:00,0.01
185650,88,2025-05-09T01:28:00+00:00,0.02
185650,89,2025-05-09T01:29:00+00:00,0.02
185650,90,2025-05-09T01:30:00+00:00,0.0
185650,91,2025-05-09T01:31:00+00:00,0.0
185650,92,2025-05-09T01:32:00+00:00,0.0
185650,93,2025-05-09T01:33:00+00:00,0.01
185650,94,2025-05-09T01:34:00+00:00,0.01
185650,95,2025-05-09T01:35:00+00:00,0.0
185650,96,2025-05-09T01:36:00+00:00,0.0
185650,97,2025-05-09T01:37:00+00:00,0.0
185650,98,2025-05-09T01:38:00+00:00,0.0
185650,99,2025-05-09T01:39:00+00:00,0.0
185650,100,2025-05-09T01:40:00+00:00,0.0
185650,101,2025-05-09T01:41:00+00:00,0.0
185650,102,2025-05-09T01:42:00+00:00,0.0
185650,103,2025-05-09T01:43:00+00:00,0.0
185650,104,2025-05-09T01:44:00+00:00,0.0
185650,105,2025-05-09T01:45:00+00:00,0.0
185650,106,2025-05-09T01:46:00+00:00,0.0
185650,107,2025-05-09T01:47:00+00:00,0.01
185650,108,2025-05-09T01:48:00+00:00,0.02
