gauge_id,gauge_name,last_data,trace_id,trace_name,alarm_id,alarm_name,alarm_type,threshold,severity,is_critical,source
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,801899,Max TP108 ARI,14562.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,801899,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,230495,Rainfall 30 second window sum,7780.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,230495,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1482848,Rainfall 7 days window sum,23282.0,647601_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1482848,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1480752,10mm Drought Alarm,22576.0,647601_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1480752,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36335,Rainfall 6 hr window sum,22649.0,647601_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36335,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,30847,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1482384,Rainfall 60 min window sum - Mirror,23199.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,1482384,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36337,Rainfall 24 hr window sum,22917.0,647601_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36337,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36333,Rainfall 60 min window sum,22786.0,647601_threshold_alarm,Overflow,25.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36333,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36332,Rainfall 30 min window sum,22864.0,647601_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36332,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36336,Rainfall 12 hr window sum,22711.0,647601_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,36336,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,230496,Rainfall 30 second window sum,7781.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,230496,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,801900,Max TP108 ARI,14563.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
3160936,ACC - Rain -Whenuapai @ Airbase,2025-12-12,801900,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1480753,10mm Drought Alarm,22577.0,649713_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1480753,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,30848,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1482854,Rainfall 7 days window sum,23283.0,649713_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1482854,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,801901,Max TP108 ARI,14564.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,801901,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1482401,Rainfall 60 min window sum - Mirror,23215.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,1482401,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,36343,Rainfall 60 min window sum,22787.0,649713_threshold_alarm,Overflow,25.0,Medium,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,36343,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,36347,Rainfall 24 hr window sum,22918.0,649713_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,36347,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160937,ACC - Rain -Whau @ Mt Roskill Substn Rainfall,2025-12-12,230497,Rainfall 30 second window sum,7782.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
